year,age_groups,weight,waist,sight_left,sight_right,los_left,los_right,hearing_left,hearing_right,wow_ratio
2013.0,35 - 39,67.13470999088976,80.75662313999392,1.122610578033979,1.126426966292135,0.0011904038870331004,0.0010567871242028546,1.006000607348922,1.0062313999392651,1.2250377810091164
2014.0,35 - 39,71.01815846121796,80.66104205726454,1.1223583922159157,1.1249924773742566,0.0008795685484804296,0.001006874522602597,1.005532023239127,1.0052311182093836,1.1543212834811067
2015.0,35 - 39,71.58735719544926,81.05250219699309,1.1210424962852896,1.1256834429850604,0.0009619267035603163,0.0009381754269291975,1.0051659026672684,1.0048096335178016,1.1511928747366638
2016.0,35 - 39,68.50118938920659,81.61503436013264,1.1183017461157343,1.1197871113460522,0.0009611225911865058,0.0007929261377288673,1.0048056129559326,1.0046734585996444,1.2159491494764634
2017.0,35 - 39,68.66048615831791,81.86721713040014,1.11291662267272,1.1176941468788824,0.0009727854480673214,0.0009141839150512178,1.004629521108272,1.004406835282811,1.2166622938529439
2018.0,35 - 39,69.31798840793044,82.3112620175721,1.1098928542656892,1.113359630157781,0.0007475044850269102,0.0008855053130318782,1.0042665255991536,1.004278025668154,1.2116109987553239
2019.0,35 - 39,68.39685530887462,81.76293740062422,1.0965740020277759,1.1010317413579884,0.0009775631588245686,0.0010011188975914257,1.0048053707084388,1.0043578116718686,1.221197564342974
2020.0,35 - 39,69.26103878836228,82.38159940046657,1.0887329566763855,1.096532134266478,0.0008944651944253061,0.000991164134363177,1.004242665989774,1.0039888312724372,1.2156894080228668
2021.0,35 - 39,69.04268439991354,82.11856142001602,1.0772676955962999,1.0827615802255648,0.000686612331048864,0.0009917733670705812,1.00397980851145,1.0040306686841203,1.2164835961521159
2022.0,35 - 39,69.2907087544121,82.11237669605829,1.072878077610176,1.0782622700004025,0.0008320919058930896,0.0007649877199339695,1.0034759968326825,1.0034759968326825,1.2125909256529575
2013.0,40 - 44,63.73413255740503,79.39300186142154,1.073106195702644,1.0835979867079717,0.0013977461343583472,0.0016463836678740147,1.0089711110065789,1.0086955937397102,1.268065062436941
2014.0,40 - 44,68.13920163766633,79.62644266403134,1.0781073745812306,1.085783362157202,0.001263544276991494,0.0014470758479511524,1.007863621924964,1.0078000917657854,1.1864271585517638
